Login,Status,Team,Last Usage Date,Last Editor Used
zrohde,Active,devops,2025-07-17,vscode/1.102.0/copilot-chat/0.29.0
jerfletcher,Active,github-co-pilot-group,2025-10-03,unknown/GitHubCopilotChat/0.31.2025082702
kellyjovan,Active,github-co-pilot-group,2025-10-03,Neovim/0.11.2/copilot.lua/1.338.0
arm22,Active,github-co-pilot-group,2025-10-02,unknown/GitHubCopilotChat/0.30.0
dominicmarion,Active,github-co-pilot-group,No activity,No activity
psymuleski,Active,github-co-pilot-group,2025-08-29,vscode/1.103.2/copilot-chat/0.30.3
maxrpeterson,Active,github-co-pilot-group,2025-09-10,vscode/1.101.2/copilot-chat/0.28.4
Neeraj154,Active,github-co-pilot-group,2025-10-06,JetBrains-IC/251.26094.121/
cnbcgopi,Active,github-co-pilot-group,2025-10-01,vscode/1.102.0-insider/copilot-chat/0.29.2025062502
pgrinstead1,Active,devops,2025-08-29,vscode/1.103.2/copilot-chat/0.30.3
KunalOjha,Active,github-co-pilot-group,2025-10-06,unknown/GitHubCopilotChat/0.29.1
ndhande,Active,github-co-pilot-group,2025-07-28,vscode/1.102.2/
roshanv123,Active,github-co-pilot-group,2025-09-22,unknown/GitHubCopilotChat/0.30.0
matt-shade-nbcuni,Active,github-co-pilot-group,2025-09-15,vscode/1.96.3/copilot/1.270.0
bijeshkumar,Active,github-co-pilot-group,2025-10-06,JetBrains-IC/222.4554.10/copilot-intellij/1.4.6.4092
shijijohn,Active,github-co-pilot-group,2025-10-06,JetBrains-IC/251.26094.121/
ToniNichevNBCUNI,Active,github-co-pilot-group,2025-10-06,unknown/GitHubCopilotChat/0.29.1
darshinioza,Active,github-co-pilot-group,No activity,No activity
haroonjameel,Active,github-co-pilot-group,2025-09-18,vscode/1.102.2/copilot-chat/0.29.1
benwfreed,Active,github-co-pilot-group,2025-09-10,vscode/1.102.2/copilot-chat/0.29.1
zandercreations,Active,devops,2025-09-29,JetBrains-IC/233.15619.7/
weshayashinbcu,Active,github-co-pilot-group,2025-10-03,JetBrains-IU/251.25410.129/copilot-intellij/1.5.45-243
Brian-z,Active,github-co-pilot-group,2025-09-19,JetBrains-IU/231.8770.65/
RohanInverse,Active,github-co-pilot-group,2025-09-30,JetBrains-IC/251.26927.53/
raydelpino29,Active,github-co-pilot-group,No activity,No activity
sarahsong808,Active,github-co-pilot-group,2025-10-06,vscode/1.100.0/
